id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
omaha-steaks-stores-grilling-meat-packages-45-san-jose,Grilling Packages from Omaha Steaks Stores (Up to 70% Off). Three Options Available.,Up to 70% Off Grilling Packages from Omaha Steaks Stores,Up to 70% Off Omaha Steaks,open,groupon,extended,2017-05-01T06:59:59Z,2017-04-04T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Meat / Poultry / Butcher (Retail),Groceries,omaha-steaks-national,Omaha Steaks,http://www.omahasteaks.com,,Omaha Steaks,5273 Prospect Road,,CA,San Jose,Country Lane,95129,US
musiclandktv-1,$50 for Two-Hour Karaoke Party Room with Drink Credit at musiclandktv ($110 Value),55% Off Two-Hour Karaoke Party Room at musiclandktv,Two-Hour Karaoke Party Room,open,groupon,extended,2041-02-23T07:59:59Z,2016-10-20T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Caf̩e / Bar Offerings,Karaoke Bar,musiclandktv,musiclandktv,http://www.musiclandktv.com,120,Midtown,788 Barber Lane,,CA,Milpitas,Midtown,95035,US
comebuy,Bubble Tea / Boba / Coffee / Drinks / Waffle at COMEBUY (Up to 40% Off) ,Up to 40% Off Bubble Teas/ Coffee/ Drinks at COMEBUY,Bubble Teas/Coffee at COMEBUY,open,groupon,extended,2041-05-27T06:59:59Z,2017-01-21T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Caf̩e / Bar Offerings,Bubble Tea,comebuy-1,COMEBUY,https://www.facebook.com/comebuyca,120,COMEBUY- Santa Clara,2712 Augustine Drive,Ste 110,CA,Santa Clara,East Murphy,95054,US
ichaat-cafe,Indian Cuisine for Two or Four at iChaat Cafe (43% Off),Up to 43% Off At iChaat Cafe,Indian Cusines,open,groupon,extended,2041-05-26T06:59:59Z,2017-01-20T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Indian Cuisine,South Asian Cuisine,i-chaat-cafe,iChaat Cafe,http://www.ichaatcafe.com,120,East Murphy,1208 E Arques Ave,Ste 103,CA,Sunnyvale,East Murphy,94085,US
splash-wines-4425,15-Bottle Pack of Curated or Choose-Your-Own Wines from Splash Wines (73% Off)  ,73% Off 15-Bottle Wine Pack from Splash Wines ,15-Bottle Wine Pack,open,groupon,extended,2041-08-09T04:59:59Z,2017-04-05T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Recreational Drugs,Wine - Variety (Retail),splash-wines,Splash Wines,http://groupon.splashwines.com/cleaning/,90,,,,,,,,
nutrisystem-213-national,Four-Week Meal Plan with Delivery from Nutrisystem ($249.99 Value) ,40% Off Four-Week Meal Plan with Delivery from Nutrisystem ,4-Week Meal Plan with Delivery,open,groupon,extended,2017-06-01T06:59:59Z,2017-01-03T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Groceries,Food - Frozen (Retail),nutri-system,Nutrisystem,http://www.nutrisystem.com,,,,,,,,,
etchedwinecom-1-san-jose,One or Two Personalized 1.5-Liter Wine Bottles from EtchedWine.com (Up to 64% Off),Up to 64% Off Personalized 1.5 Liter Wine Bottles,Personalized Wine Bottles,open,groupon,extended,2040-12-22T07:59:59Z,2016-08-18T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Customizables,Customizable Food and Drink,miramonte-winery-temecula,EtchedWine.com,http://www.etchedwine.com/,90,,,,,,,,
la-fondue-8,Sampling of the Entire Fondue Menu and Wine for Two or Four at La Fondue (Up to 65% Off) ,Up to 65% Off Menu Tasting and Wine at La Fondue ,La Fondue Menu Tasting,open,groupon,extended,2041-04-19T06:59:59Z,2016-12-14T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Fondue Restaurant,European Cuisine,la-fondue-new-owner,La Fondue,http://www.lafondue.com/,120,La Fondue,14550 Big Basin Way,,CA,Saratoga,Madronia Historic,95070,US
n-etchedwine-com-etched-wine-bottle-gift-set-abilene,Personalized Wine Bottle & Glass Romance Gift Set (4-Piece) from EtchedWine.com   ,Personalized Wine Bottle & Glass Romance Gift Set (4-Piece),Wine Bottle & Romance Gift Set,open,groupon,extended,2041-05-12T06:59:59Z,2017-01-06T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Customizables,Customizable Food and Drink,miramonte-winery-temecula,EtchedWine.com,http://www.etchedwine.com/,90,,,,,,,,
tastevin-wine-bar-bistro,Glasses of Wine and Cheese Plates for Two at TasteVin Wine Bar & Bistro (46% Off)   ,46% Off at TasteVin Wine Bar & Bistro   ,Wine and Cheese,open,groupon,extended,2039-03-13T07:59:59Z,2014-11-07T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Caf̩e / Bar Offerings,Wine Bar,tastevin-wine-bar-bistro,TasteVin Wine Bar & Bistro,http://tastevinandcheese.com/,120,San Carlos,890 Laurel St,,CA,San Carlos,San Carlos,94070,US
blend-bee-san-jose,Custom 2- or 4-Ounce Tea Blend from BlendBee (Up to 35% Off),Up to 35% Off a Custom Tea Blend,Custom Tea Blend,open,groupon,extended,2040-08-04T06:59:59Z,2016-03-31T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Customizables,Customizable Food and Drink,blend-bee,BlendBee,http://blendbee.com,120,,,,,,,,
shadow-puppet-brewing-company,2 Flights of Any 6 Tasters Each plus a 32oz. Can at Shadow Puppet Brewing Company (53% Off),53% Off Beer Tasting Flights plus a 32oz Can To-Go,Beer Tasting Flight + 32oz Beer ,open,groupon,extended,2041-08-10T06:59:59Z,2017-04-06T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Caf̩e / Bar Offerings,Brewery,shadow-puppet-brewing-company,Shadow Puppet Brewing Company,http://www.shadowpuppetbrewing.com,120,"Livermore, CA",4771 Arroyo Vista,Ste. B,CA,Livermore,Ulmar,94551,US
crawfish-and-catfish-festival,Two or Four Tickets to the Crawfish & Catfish Festival on September 9 or 10 (Up to 52% Off),52% Off Two or Four Tickets to Crawfish & Catfish Festival,Crawfish & Catfish Festival,open,groupon,extended,2017-09-07T06:59:59Z,2017-04-06T07:00:00Z,modesto,Modesto,37.6391,-120.997,Fairs & Festivals,Festival - Food,crawfish-catfish-festival,Crawfish & Catfish Festival,http://www.crawfishandcatfishfestival.com/,,Yolo County Fairgrounds,1250 East Gum Avenue,,CA,Woodland,Northstar,95776,US
wine-insiders-1338-national,15 Bottles of Wine and $75 e-Voucher from Wine Insiders (81% Off) ,81% Off 15 Bottles of Holiday Wine,15 Bottles of Wine,open,groupon,extended,2041-04-05T06:59:59Z,2016-11-30T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Recreational Drugs,Wine - Variety (Retail),wine-insiders,Wine Insiders,http://www.wineinsiders.com/,90,,,,,,,,
jerusalem-grill-3,Mediterranean Buffet for Two or Four or More at Jerusalem Grill (Up to 31% Off),Up to 31% Off at Jerusalem Grill,Mediterranean Buffet,open,groupon,featured,2017-04-11T06:59:59Z,2017-04-07T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Middle Eastern Cuisine,,jerusalem-grill-and-bar,Jerusalem Grill,http://www.jerusalemgrillbar.com,120,Central Campbell,1740 Winchester Boulevard,,CA,Campbell,Central Campbell,95008,US
crockpot-meals-by-omaha-steaks-2784-san-jose,Crock-Pot Meals from Omaha Steaks (Up to 50% Off),Up to 50% Off Omaha Steaks Crock-Pot Meals,Omaha Steaks Crock-Pot Meals,open,groupon,extended,2017-05-01T06:59:59Z,2017-03-02T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Meat / Poultry / Butcher (Retail),Groceries,omaha-steaks-national,Omaha Steaks,http://www.omahasteaks.com,,Omaha Steaks,5273 Prospect Road,,CA,San Jose,Country Lane,95129,US
