id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
left-coast-tours-5,City Tour for Two with Optional Muir Woods Tour from Left Coast Tours (Up to 51% Off) ,Up to 51% Off City Tour and Muir Woods Tour ,Left Coast Tours,open,groupon,extended,2040-10-12T06:59:59Z,2016-06-08T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Tour - City,Tour,left-coast-tours,Left Coast Tours,http://www.leftcoasttoursf.com,150,Left Coast Tours,5th and Market St,Suite 4225,CA,San Francisco,Yerba Buena,94104,US
ultra-music-studio-1,"4 Hours of Karaoke for Six, 10, 15, 20, or 30 People at Ultra Music Studio (Up to 60% Off)",Up to 60% Off 4 Hours of Karaoke at Ultra Music Studio,Karaoke,open,groupon,extended,2041-07-03T07:00:00Z,2017-03-03T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Caf̩e / Bar Offerings,Karaoke Bar,ultra-music-studio,Ultra Music Studio,https://www.yelp.com/biz/ultra-music-studio-fremont,120,Fremont,34771 Ardenwood Boulevard,,CA,Fremont,Ardenwood,94555,US
3-steves-winery,"Wine Tasting for Two, Four, or Six at 3 Steves Winery (Up to 62% Off)",Up to 62% Off Wine Tasting at 3 Steves Winery,Wine Tasting,open,groupon,extended,2041-05-19T06:59:59Z,2017-01-13T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Restaurant Specialty - Wine Tasting / Flight,Tastings,3-steves-winery-1,3 Steves Winery,http://www.3steveswinery.com,120,The Vineyards,5700 Greenville Road,,CA,Livermore,The Vineyards,94550,US
peninsula-gymnastics,$39 for Four Weekly Beginners' Gymnastics Classes for One Child at Peninsula Gymnastics ($126 Value),69% Off Beginners' Gymnastics Classes,Beginners' Gymnastics Classes,open,groupon,extended,2040-06-24T06:59:59Z,2016-02-19T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Gymnastics (Activity / Experience),Sports & Related,peninsula-gymnastics,Peninsula Gymnastics,http://www.peninsulagym.com,120,San Mateo,1740 Leslie Street,,CA,San Mateo,Hayward Park,94402,US
goldstar-american-improv-theatre,"""Jeff &amp; Friends""","""Jeff &amp; Friends""",American Improv Theatre,open,groupon,featured,2017-05-28T03:00:00Z,2017-02-06T22:48:58Z,san-jose,San Jose,37.3394,-121.895,Comedy,Improv Show,goldstar,American Improv Theatre,http://www.americanimprovtheatre.com/,,Black Cat Licorice Theater,260 McEvoy St.,,CA,San Jose,Sunol-Midtown,95050,US
enjoy-napa-valley,Napa River Kayak Tour for Two or Four or a Kayak Rental for Two from Enjoy Napa Valley (51% Off),51% Off Kayak Tour from Enjoy Napa Valley,Kayak Tour or Rental,open,groupon,extended,2039-04-01T06:59:59Z,2014-11-26T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Tour - Guided,Tour,enjoy-napa-valley,Enjoy Napa Valley,http://www.enjoy-napa-valley.com/,111,Cental Napa,100 Riverside Drive,,CA,Napa,Cental Napa,94559,US
dance-boulevard-1,"Weekly Series of 4, 8, or 12 Level 1 Group Dance Classes at Dance Boulevard (55% Off)",55% Off Dance Lessons at Dance Boulevard,Group Dance Lessons,open,groupon,extended,2038-07-06T06:59:59Z,2014-03-05T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Dance Class,Courses - Sports Training,dance-boulevard,Dance Boulevard,http://www.sjdancesport.com/,120,Rose - Sartorette,1824 Hillsdale Ave.,,CA,San Jose,Rose - Sartorette,95124,US
derose-winery-4,Wine Tasting at DeRose Winery (Up to 70% Off),Up to 70% Off Wine Tasting at DeRose Winery,Wine Tasting at DeRose Winery,open,groupon,extended,2041-07-07T06:59:59Z,2017-03-03T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Restaurant Specialty - Wine Tasting / Flight,Tastings,derose-winery,DeRose Winery,http://www.derosewine.com/,90,Downtown Salinas,9970 Cienega Rd,,CA,Hollister,Downtown Salinas,95023,US
west-coast-training-center-3,Three Open Gyms for One or Two Children at WestCoast Training Center (Up to 63% Off),Up to 63% Off Open Gym at WestCoast Training Center,Open Gym,open,groupon,extended,2041-05-20T06:59:59Z,2017-01-17T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Gymnastics (Activity / Experience),Sports & Related,west-coast-training-center-1,WestCoast Training Center,http://www.westcoasttc.com/,120,WestCoast Training Center,50 Wright Brothers Ave,,CA,Livermore,Isabel,94551,US
half-moon-bay-kayak-company-4-san-jose,$32 for a 1-Hour Paddleboard or Single- or Double-Kayak Rental for 2 from Half Moon Bay Kayak ($65 Value),51% Off Kayak or Paddleboard Rental,Kayak or Paddleboard Rental,open,groupon,extended,2039-02-20T07:59:59Z,2014-10-17T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Kayak Rental,Boat Rental,half-moon-bay-kayak-company,Half Moon Bay Kayak Co.,http://www.hmbkayak.com/,90,El Granada,2 Johnson Pier,,CA,Half Moon Bay,El Granada,94019,US
j-lohr-vineyards-wines-1,"Friday Wine and Cheese Tasting for Two, Four, or Six at J. Lohr Vineyards & Wines (Up to 44% Off) ",Up to 44% Off Friday Wine and Cheese Tasting ,Wine and Cheese Tasting,open,groupon,extended,2039-05-16T06:59:59Z,2015-01-10T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Restaurant Specialty - Wine Tasting / Flight,Tastings,j-lohr-vineyards-wines,J. Lohr Vineyards & Wines,http://www.jlohr.com/,120,Shasta-Hanchett,1000 Lenzen Ave,,CA,San Jose,Garden Alameda,95126,US
paintball-international-19,$49 for an All-Day Paintball Party with Equipment for Up to 10 at Paintball International ($350 Off),86% Off All-Day Paintball for Up to 10,All-Day Paintball for Up to 10,open,groupon,extended,2038-04-23T07:59:59Z,2013-12-18T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Shooting,Paintball (Activity / Experience),pn-l-paintball,Paintball International,http://www.paintballtickets.com/,30,Santa Clara Paintball,2542 Monterey Rd,,CA,San Jose,South San Jose,95111,US
partipalooza,"10, 15, or 20 Kids' Drop-In Play Sessions at PartiPalooza (Up to 58% Off)",Up to 58% Off Kids' Indoor Play Sessions,Kids' Indoor Play Sessions,open,groupon,extended,2040-06-25T06:59:59Z,2016-02-20T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Indoor Play Area,Jumping,parti-palooza,PartiPalooza,http://www.partipalooza.com,90,Livermore,6253 Southfront Rd.,,CA,Livermore,Livermore,94551,US
bay-area-glass-institute-9,"Bowl- or Bead-Making Class for One, or Glass-Fusing Experience for 2 at Bay Area Glass Institute (Up to 56% Off) ",Up to 56% Off Classes at Bay Area Glass Institute,Glass Classes,open,groupon,extended,2039-01-10T07:59:59Z,2014-09-06T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Courses - Entertainment Media / Arts,Glassblowing & Stained Glass Class,bay-area-glass-institute,Bay Area Glass Institute,http://www.bagi.org,90,Bay Area Glass Institute,635 Phelan Avenue,,CA,San Jose,Rockspring,95112,US
the-murder-mystery-co-8-san-jose,Murder-Mystery Dinner for One or Two at The Murder Mystery Co. (Up to 55% Off),Up to 55% Off at The Murder Mystery Co.,Murder-Mystery Dinner,open,groupon,extended,2040-02-16T07:59:59Z,2015-10-13T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Experiential Dining,Dinner - Murder Mystery,the-murder-mystery-co,The Murder Mystery Co.,http://murdermysterydinnersanjose.com/,180,,,,,,,,
skydive-monterey-bay-1,"Weekday or Weekend VIP Tandem Jump for One, Two, or Four at Skydive Monterey Bay (Up to 39% Off)",Up to 39% Off VIP Jump at Skydive Monterey Bay,VIP Tandem Jump,open,groupon,extended,2039-02-26T07:59:59Z,2014-10-23T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Flying,Parachuting / Skydiving - Tandem (Ride / Experience),skydive-monterey-bay,Skydive Monterey Bay,http://www.skydivemontereybay.com/,180,Marina,721 Neeson Rd.,Suite 1,CA,Marina,Marina,93933,US
redwood-coast-cider-1,Two or Four Tasting Flights at Redwood Coast Cider (Up to 55% Off) ,55% Off Tasting Flights at Redwood Coast Cider,Tasting Flights ,open,groupon,extended,2041-02-17T07:59:59Z,2016-10-14T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Tasting - Other,Tastings,redwood-coast-cider,Redwood Coast Cider,http://redwoodcoastcider.com,120,Clearfield Park,821 Cherry Ln,,CA,San Carlos,Clearfield Park,94070,US
image-light-photography-4,One Digital Camera Advanced Basics Class for One or Two at Image Light Photography (Up to 61% Off),Up to 61% Off Digital Camera Classes,Digital Camera Classes,open,groupon,extended,2041-03-27T06:59:59Z,2016-11-21T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Courses - Entertainment Media / Arts,Photography Class,image-light-photography,Image Light Photography,http://www.imagelight.com,120,Image Light Photography,"39 California Ave, Suite 107",,CA,Pleasanton,Asco - Radum,94566,US
nor-cal-hobbies-raceway,RC Truck Rental for Two at Nor-Cal Hobbies (40% Off),40% Off RC Truck Rental for Two,RC Truck Rental for Two,open,groupon,extended,2041-04-20T06:59:59Z,2016-12-15T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Gaming,Slot Car Racing,nor-cal-hobbies-raceway,Nor-Cal Hobbies,http://www.norcalhobbies.com,120,South San Jose,2099 S 10th St,,CA,San Jose,South San Jose,95112,US
goldstar-tommy-ts-comedy-pleasanton-5,"Comedian Craig ""The Lovemaster"" Shoemaker - Friday May 5, 2017 / 7:30pm","Comedian Craig ""The Lovemaster"" Shoemaker - Friday May 5, 2017 / 7:...",Tommy T's Comedy Pleasanton,open,groupon,featured,2017-05-06T02:30:00Z,2012-05-17T00:20:15Z,san-francisco,San Francisco,37.7752,-122.419,Comedy,Stand-up Show,goldstar,Tommy T's Comedy Pleasanton,http://www.tommyts.com/,,Val Vista,5104 Hopyard Road,,CA,Pleasanton,Val Vista,94588,US
